t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t
15,4,19800.8000,-0.0000,929671.5333
15,5,5227.6500,-0.0000,72570.0329
15,6,9536.3500,-0.0000,7000702.2665
15,7,61384.0500,-0.0000,31503480.7753
15,8,110380.6700,-0.0000,103540205.4860
16,0,68445.9800,-0.0000,997669.5827
16,1,93120.2200,-0.0000,16494073.6882
16,2,228100.8100,-0.0000,198854447.1009
16,3,184736.9300,1.6287,356233448.7310
16,4,16338.8300,-0.0000,1821051.8894
16,5,3764.7500,-0.0000,445380.3617
16,6,9238.6900,-0.0000,5935768.1670
16,7,59059.9500,-0.0000,21896695.8473
16,8,107091.8600,-0.0000,72120568.2473
17,0,74084.7000,-0.0000,6357767.2183
17,1,87160.5500,-0.0000,88529213.0528
17,2,194378.7900,-0.0000,193107822.1449
17,3,177123.9800,1.6793,37125568.3785
17,4,19467.3800,-0.0000,2160064.4469
17,5,4265.3200,-0.0000,432896.9197
17,6,10324.3300,-0.0000,5890599.1830
17,7,47136.1200,-0.0000,50534971.4936
17,8,85372.1100,-0.0000,174658670.4914
18,0,68987.7000,-0.0000,37609831.2753
18,1,67463.4800,-0.0000,79333270.7555
18,2,158287.2200,-0.0000,55335341.2457
18,3,161617.6600,1.6602,241530435.1845
18,4,17730.0400,-0.0000,1945380.7998
18,5,6746.9900,-0.0000,1292347.5754
18,6,9027.9100,-0.0000,241985.7765
18,7,38500.2100,-0.0000,85720915.9691
18,8,70198.9300,-0.0000,269617361.8298
19,0,62355.4700,-0.0000,44348757.9149
19,1,61461.9500,-0.0000,116237451.7849
19,2,122146.0100,-0.0000,12278380.2216
19,3,129152.9600,1.7340,347109350.7055
19,4,15361.8500,-0.0000,2384989.4387
19,5,5750.6100,-0.0000,1402844.4475
19,6,8087.0700,-0.0000,632530.5045
19,7,28069.7500,-0.0000,129510814.3183
19,8,51155.8500,-0.0000,420330610.8971
20,0,72478.1600,-0.0000,50910099.7349
20,1,56692.6600,-0.0000,151361296.2495
20,2,84468.2700,-0.0000,4270041.4440
20,3,112258.3800,1.5861,292795325.2089
20,4,16142.3900,-0.0000,2479217.7779
20,5,5361.3300,-0.0000,789398.4970
20,6,4871.6700,-0.0000,4057240.3877
20,7,17606.7000,-0.0000,122806295.2047
20,8,31977.4800,-0.0000,402705772.7739
21,0,69336.4300,-0.0000,57141723.6119
21,1,56730.7500,-0.0000,121059313.9498
21,2,90738.5300,-0.0000,115137786.6049
21,3,106636.8700,1.5202,219298192.8520
21,4,13430.2300,-0.0000,2394595.8010
21,5,4271.7600,-0.0000,785330.5824
21,6,7113.6900,-0.0000,2383541.7823
21,7,26480.2800,-0.0000,55034639.0835
21,8,48003.3000,-0.0000,184421217.5698
22,0,66753.7600,-0.0000,38746247.4937
22,1,67288.7400,-0.0000,51839700.9337
22,2,96017.5100,-0.0000,247114602.3046
22,3,98798.8800,1.6306,178368435.4330
22,4,17755.0500,-0.0000,2420522.3081
22,5,3847.9400,-0.0000,600989.0524
22,6,6712.3800,-0.0000,1359497.1926
22,7,30785.4500,-0.0000,24395701.1863
22,8,55784.4700,-0.0000,80207428.5353
23,0,49942.1600,-0.0000,45814638.3094
23,1,47614.7700,-0.0000,83758005.2305
23,2,87388.3800,-0.0000,177908115.6520
23,3,74648.3500,0.6566,125300015.9042
23,4,0.0000,-0.0000,49053136.5901
23,5,0.0000,-0.0000,4090973.1612
23,6,5707.9800,-0.0000,766260.6925
23,7,25632.4200,-0.0000,22664945.5367
23,8,46407.8200,-0.0000,73928007.5169
